Pennsylvania State University,42,Home,PSU.png,#0B0B61
Southern Methodist University,6,South,SMU.png,#FF0000
University of Cincinnati,8,Midwest,UCincy.png,#000000
Virginial Commonwealth University,10,East,VCU.png,#FACC2E
University of Dayton,9,East,Dayton.png,#FF0000
Duke University,1,South,Duke.png,#0101DF
University of Virginia,1,East,UVa.png,#FE642E
University of North Carolina,5,Midwest,UNC.png,#81BEF7
University of Louisville,4,West,Lville.png,#DF0101
Notre Dame University,3,Midwest,ND.png,#868A08
North Carolina State University,9,Midwest,NCSt.png,#FF0000
Kansas University,2,East,Kansas.png,#0040FF
Baylor University,4,East,Baylor.png,#0B610B
Iowa State University,3,South,ISU.png,#B40404
Oklahoma University,3,West,Okla.png,#8A0808
West Virginia University,5,West,WVU.png,#0B2161
Villanova University,1,West,Nova.png,#2ECCFA
Georgetown University,6,East,Gtown.png,#A4A4A4
Providence College,6,West,Prov.png,#170B3B
Butler University,6,Midwest,Butler.png,#170B3B
St. John's University,8,East,StJohns.png,#DF013A
University of Wisconsin,2,Midwest,Wisky.png,#DF0101
University of Maryland,3,East,UMd.png,#DF0101
Michigan State University,7,West,MichSt.png,#0B6121
University of Iowa,7,East,Iowa.png,#000000
Ohio State University,8,West,OhSt.png,#B40404
San Diego State University,7,South,SDSU.png,#000000
University of Arizona,2,West,Zona.png,#0B2161
University of Utah,4,South,Utah.png,#DF0101
University of Kentucky,1,Midwest,UK.png,#2E2EFE
University of Arkansas,5,East,UArk.png,#8A0808
University of Georgia,9,West,UGa.png,#000000
Gonzaga University,2,West,Zaga.png,#0B2161
University of Northern Iowa,4,Midwest,UNI.png,#4B088A
Wichita State University,5,South,WichSt.png,#000000
University of North Florida,16,East,UNFla.png,#A4A4A4
Coastal Carolina University,16,South,CCU.png,#088A85
Belmont University,15,South,Belmont.png,#0B3861
,,,,
